simMin,events,sigStatesSize,outcomesLen,rssMB,cumReapMs,lastReapUs
10,47,3,20,90.1,0.04,0.3
20,78,4,20,90.6,0.06,0.3
30,125,5,20,91.4,0.07,0.3
40,163,6,20,91.5,0.09,0.3
50,202,8,20,91.6,0.11,0.4
60,242,8,20,91.7,0.12,0.2
70,278,8,20,91.7,0.15,0.5
80,312,8,20,91.8,0.16,0.5
90,334,8,20,91.9,0.17,0.5
100,369,8,20,92.0,0.19,0.4
110,411,8,20,92.0,0.21,0.4
120,443,9,20,92.0,0.23,0.5
130,485,9,20,92.0,0.25,0.1
140,523,9,20,92.1,0.25,0.2
150,573,9,20,92.1,0.26,0.1
160,609,9,20,92.1,0.27,0.2
170,661,9,20,92.1,0.28,0.1
180,702,9,20,92.1,0.29,0.1
190,744,9,20,92.2,0.29,0.1
200,785,10,20,92.2,0.30,0.2
210,812,10,20,92.2,0.30,0.2
220,859,10,20,92.2,0.31,0.1
230,884,10,20,92.2,0.31,0.2
240,909,10,20,92.2,0.32,0.1
250,967,10,20,92.2,0.32,0.1
260,1017,10,20,92.2,0.33,0.1
270,1067,10,20,92.3,0.34,0.1
280,1118,10,20,92.3,0.35,0.1
290,1153,11,20,92.3,0.35,0.2
301,1204,11,20,92.3,0.36,0.2
311,1241,11,20,92.3,0.37,0.2
320,1290,11,20,92.3,0.37,0.1
331,1321,11,20,92.3,0.38,0.2
340,1389,11,20,92.3,0.39,0.2
350,1443,11,20,92.3,0.40,0.4
360,1518,11,20,92.3,0.41,0.1
370,1566,11,20,92.3,0.42,0.1
380,1613,11,20,92.3,0.43,0.2
390,1656,11,20,92.3,0.43,0.2
400,1716,11,20,92.3,0.44,0.2
410,1752,11,20,92.4,0.45,0.2
420,1820,11,20,93.0,0.47,0.1
430,1869,11,20,93.7,0.50,0.2
440,1910,11,20,94.3,0.52,0.1
