wallMin,events,sigStatesSize,rssMB,heapMB,cpuUserSec,driftMaxMs
0,1,0,87.8,8.4,0.1,0.51
1,4,0,88.2,8.5,0.1,0.95
2,8,1,88.3,9.1,0.1,0.90
3,11,1,88.4,9.1,0.1,0.60
4,13,1,88.5,8.8,0.1,0.33
5,16,1,88.6,8.8,0.1,0.31
6,18,1,88.6,8.9,0.1,0.20
7,20,1,88.6,8.9,0.1,0.19
8,23,1,88.7,9.0,0.1,0.24
9,25,2,88.7,9.0,0.1,0.33
10,28,2,88.8,9.1,0.1,0.44
11,31,2,87.1,8.6,0.1,0.54
12,34,2,87.1,8.6,0.1,0.26
13,37,2,87.1,8.7,0.1,0.20
14,40,2,87.1,8.9,0.1,0.41
15,43,3,87.1,9.0,0.1,0.22
16,46,3,87.1,9.0,0.1,0.19
17,50,3,87.1,9.1,0.1,0.22
18,53,3,87.1,9.2,0.1,0.24
19,56,3,87.3,8.5,0.2,0.25
20,59,3,87.3,8.6,0.2,0.24
21,62,3,87.4,8.6,0.2,0.26
22,64,3,88.8,8.7,0.2,0.32
23,66,3,88.8,8.7,0.2,0.30
24,68,3,88.8,8.7,0.2,0.17
25,70,3,88.9,8.8,0.2,0.29
26,73,3,88.9,8.8,0.2,0.23
27,76,3,88.9,8.9,0.2,0.25
28,78,3,89.0,8.9,0.2,0.22
29,81,3,89.0,8.9,0.2,0.22
30,84,3,89.1,9.0,0.2,0.30
31,86,3,89.1,9.0,0.2,0.24
32,88,3,89.1,9.0,0.2,0.30
33,91,3,89.2,9.1,0.2,0.23
34,94,3,89.2,9.1,0.2,0.23
35,97,3,89.3,9.2,0.2,0.22
36,99,3,89.4,9.2,0.2,0.35
37,101,3,89.4,9.3,0.2,0.23
38,104,3,88.6,8.6,0.2,0.32
39,108,3,88.6,8.6,0.2,0.26
40,109,3,88.6,8.6,0.2,0.15
41,111,3,88.6,8.7,0.2,0.24
42,114,3,88.6,8.7,0.2,0.25
43,116,3,88.6,8.8,0.2,0.24
44,118,3,88.6,8.8,0.2,0.20
45,121,3,88.6,8.8,0.2,0.25
46,123,3,88.6,8.9,0.2,0.23
47,127,3,88.6,8.9,0.2,0.23
48,129,3,88.6,9.0,0.2,0.21
49,131,3,88.6,9.0,0.2,0.25
50,135,3,88.6,9.1,0.2,0.24
51,139,3,88.6,9.1,0.2,0.21
52,141,3,88.6,9.2,0.2,0.20
53,143,4,88.6,9.2,0.2,0.23
54,147,4,88.6,9.3,0.2,0.20
55,149,4,88.6,9.3,0.2,0.21
56,151,4,87.7,8.5,0.2,0.21
57,153,4,87.7,8.6,0.2,0.16
58,156,4,87.7,8.6,0.2,0.27
59,158,4,87.8,8.6,0.2,0.21
60,160,4,87.8,8.7,0.2,0.20
61,163,4,87.8,8.7,0.2,0.37
62,165,4,87.9,8.7,0.2,0.20
63,167,5,87.9,8.8,0.2,0.26
64,171,5,87.9,8.8,0.2,0.30
65,173,5,88.0,8.9,0.2,0.28
66,176,5,88.0,8.9,0.2,0.25
67,179,5,88.1,9.0,0.2,0.23
68,182,5,88.1,9.0,0.2,0.22
69,184,5,88.2,9.0,0.2,0.25
70,186,5,88.2,9.1,0.2,0.23
71,188,5,88.2,9.1,0.2,0.26
72,191,5,88.3,9.2,0.3,0.27
73,195,5,88.7,9.3,0.3,0.25
74,197,5,88.8,9.3,0.3,0.24
75,199,5,88.8,9.3,0.3,0.19
76,201,5,88.0,8.6,0.3,0.19
77,205,5,88.1,8.7,0.3,0.20
78,207,5,88.1,8.7,0.3,0.22
79,211,5,88.2,8.7,0.3,0.19
80,213,5,88.2,8.8,0.3,0.21
81,215,5,88.2,8.8,0.3,0.22
82,219,5,88.3,8.9,0.3,0.23
83,222,5,88.3,8.9,0.3,0.22
84,224,5,88.4,8.9,0.3,0.20
85,227,5,88.4,9.0,0.3,0.21
86,229,5,88.4,9.0,0.3,0.23
87,231,5,88.5,9.0,0.3,0.28
88,234,5,88.5,9.1,0.3,0.23
89,237,5,85.2,9.1,0.3,0.24
90,239,5,85.3,9.2,0.3,0.23
91,242,5,85.3,9.2,0.3,0.23
92,243,5,85.3,9.2,0.3,0.13
93,247,5,85.4,9.3,0.3,0.19
94,250,5,85.4,9.3,0.3,0.27
95,253,5,84.7,8.6,0.3,0.26
96,256,5,84.7,8.7,0.3,0.22
97,260,5,84.8,8.7,0.3,0.25
98,263,5,84.9,8.8,0.3,0.22
99,265,5,84.9,8.8,0.3,0.26
100,267,5,84.9,8.8,0.3,0.23
101,269,5,85.0,8.9,0.3,0.23
102,272,5,85.0,8.9,0.3,0.23
103,274,5,85.0,9.0,0.3,0.16
104,276,5,81.9,9.0,0.3,0.17
105,279,5,82.0,9.0,0.3,0.23
106,281,5,82.0,9.1,0.3,0.20
107,284,5,82.0,9.1,0.3,0.20
108,288,5,82.1,9.2,0.3,0.17
109,290,5,82.1,9.2,0.3,0.17
110,292,5,82.1,9.2,0.3,0.22
111,294,5,82.2,9.3,0.3,0.18
112,297,5,82.2,9.3,0.3,0.23
113,300,5,82.3,9.3,0.3,0.23
114,301,5,82.3,9.4,0.3,0.22
115,304,5,81.6,8.6,0.3,0.22
116,306,5,81.6,8.7,0.3,0.21
117,309,5,81.6,8.7,0.3,0.21
118,312,5,81.7,8.8,0.3,0.22
119,314,5,81.7,8.8,0.3,0.22
120,317,5,81.8,8.8,0.3,0.20
121,319,5,81.8,8.9,0.3,0.23
122,323,5,81.9,8.9,0.3,0.31
123,324,5,81.9,8.9,0.3,0.21
124,328,5,81.9,9.0,0.4,0.19
125,332,6,82.0,9.0,0.4,0.21
126,335,6,82.0,9.1,0.4,0.28
127,337,6,82.1,9.1,0.4,0.17
128,340,6,82.1,9.2,0.4,0.20
129,343,6,82.1,9.2,0.4,0.22
130,346,6,82.2,9.3,0.4,0.17
131,349,6,82.2,9.3,0.4,0.31
132,351,6,82.3,9.3,0.4,0.19
133,353,6,82.3,9.4,0.4,0.23
134,355,6,82.3,9.4,0.4,0.21
135,357,6,81.6,8.7,0.4,0.21
136,359,6,81.6,8.7,0.4,0.17
137,362,6,81.7,8.7,0.4,0.19
138,364,6,81.7,8.8,0.4,0.16
139,366,6,81.7,8.8,0.4,0.17
140,370,6,81.8,8.9,0.4,0.27
141,372,6,81.8,8.9,0.4,0.18
142,376,6,81.9,8.9,0.4,0.18
143,380,6,81.9,9.0,0.4,0.34
144,381,6,81.9,9.0,0.4,0.20
145,384,6,82.0,9.1,0.4,0.15
146,387,6,82.0,9.1,0.4,0.22
147,390,6,82.1,9.1,0.4,0.22
148,392,6,82.1,9.2,0.4,0.20
149,396,6,82.1,9.2,0.4,0.21
150,400,6,82.2,9.3,0.4,0.23
151,401,6,82.2,9.3,0.4,0.19
152,404,6,82.3,9.3,0.4,0.21
153,407,6,82.3,9.4,0.4,0.19
154,409,6,82.4,9.4,0.4,0.17
155,410,6,82.4,9.4,0.4,0.19
156,413,6,81.6,8.7,0.4,0.20
157,415,6,81.7,8.7,0.4,0.22
158,417,6,81.7,8.8,0.4,0.23
159,420,6,81.7,8.8,0.4,0.21
160,423,6,81.8,8.9,0.4,0.21
161,425,6,81.8,8.9,0.4,0.21
162,428,6,81.9,8.9,0.4,0.16
163,431,6,81.9,9.0,0.4,0.24
164,436,6,82.0,9.0,0.4,0.21
165,438,6,82.0,9.1,0.4,0.23
166,441,6,82.0,9.1,0.4,0.27
167,443,6,82.1,9.1,0.4,0.22
168,445,6,82.1,9.2,0.4,0.23
169,449,6,82.2,9.2,0.4,0.23
170,450,6,82.2,9.3,0.4,0.24
171,453,6,82.2,9.3,0.4,0.21
172,455,6,82.3,9.3,0.4,0.31
173,457,6,82.3,9.4,0.4,0.16
174,461,6,82.4,9.4,0.4,0.23
175,464,6,81.7,8.7,0.4,0.21
176,466,6,81.7,8.7,0.4,0.21
177,468,6,81.7,8.8,0.4,0.21
178,470,6,81.8,8.8,0.5,0.20
179,473,6,81.8,8.9,0.5,0.20
180,476,6,81.9,8.9,0.5,0.25
181,480,6,81.9,9.0,0.5,0.22
182,482,6,82.0,9.0,0.5,0.21
183,484,6,82.0,9.0,0.5,0.21
184,486,6,82.0,9.1,0.5,0.20
185,488,6,82.1,9.1,0.5,0.19
186,490,6,82.1,9.1,0.5,0.20
187,494,7,82.1,9.2,0.5,0.21
188,497,7,82.2,9.2,0.5,0.21
189,500,7,82.2,9.3,0.5,0.21
190,502,7,82.3,9.3,0.5,0.23
191,506,7,82.3,9.4,0.5,0.23
192,508,7,82.4,9.4,0.5,0.21
193,512,7,82.1,8.7,0.5,0.18
194,516,7,82.1,8.8,0.5,0.22
195,517,7,82.1,8.8,0.5,0.24
196,521,7,82.2,8.9,0.5,0.26
197,524,7,82.3,9.0,0.5,0.25
198,526,7,82.3,9.0,0.5,0.26
199,529,7,82.4,9.1,0.5,0.22
200,531,7,82.4,9.1,0.5,0.22
201,534,7,82.5,9.1,0.5,0.19
202,536,7,82.5,9.2,0.5,0.19
203,538,7,82.6,9.2,0.5,0.15
204,541,8,82.6,9.2,0.5,0.26
205,544,8,82.6,9.3,0.5,0.22
206,548,8,82.7,9.3,0.5,0.17
207,549,8,82.7,9.4,0.5,0.18
208,553,8,82.8,9.4,0.5,0.17
209,555,8,82.8,9.4,0.5,0.20
210,557,8,82.8,9.5,0.5,0.18
211,559,8,82.9,9.5,0.5,0.24
212,563,8,82.2,8.8,0.5,0.20
213,566,8,82.2,8.8,0.5,0.19
214,568,8,82.2,8.9,0.5,0.18
215,570,8,82.3,8.9,0.5,0.19
216,572,8,82.3,8.9,0.5,0.16
217,574,8,82.3,8.9,0.5,0.19
218,577,8,82.4,9.0,0.5,0.20
219,580,8,82.4,9.0,0.5,0.19
220,582,8,82.4,9.1,0.5,0.18
221,585,8,82.5,9.1,0.5,0.16
222,587,8,82.5,9.1,0.5,0.21
223,590,8,82.6,9.2,0.5,0.20
224,593,8,82.6,9.2,0.5,0.23
225,597,8,82.7,9.3,0.5,0.18
226,598,8,82.7,9.3,0.5,0.22
227,601,8,82.7,9.3,0.5,0.25
228,605,8,82.8,9.4,0.5,0.18
229,608,8,82.8,9.4,0.5,0.21
230,610,8,82.8,9.5,0.5,0.22
231,613,8,82.9,9.5,0.5,0.25
232,615,8,82.9,9.5,0.6,0.20
233,617,8,82.2,8.8,0.6,0.20
234,620,8,82.2,8.8,0.6,0.20
235,621,8,82.2,8.9,0.6,0.22
236,624,8,82.3,8.9,0.6,0.22
237,628,8,82.3,9.0,0.6,0.17
238,630,8,82.4,9.0,0.6,0.19
239,634,8,82.4,9.0,0.6,0.16
240,636,8,82.4,9.1,0.6,0.18
241,638,8,82.5,9.1,0.6,0.19
242,641,8,82.5,9.1,0.6,0.17
243,644,8,82.6,9.2,0.6,0.21
244,647,8,82.6,9.2,0.6,0.19
245,651,8,82.7,9.3,0.6,0.19
246,654,8,82.7,9.3,0.6,0.18
247,657,8,82.7,9.4,0.6,0.20
248,659,8,82.8,9.4,0.6,0.18
249,660,8,82.8,9.4,0.6,0.20
250,663,8,82.8,9.5,0.6,0.26
251,666,8,82.9,9.5,0.6,0.21
252,668,8,82.9,9.5,0.6,0.29
253,671,8,82.2,8.8,0.6,0.16
254,674,8,82.2,8.8,0.6,0.15
255,676,8,82.3,8.9,0.6,0.12
