i,kind,plannedT,actualT,latenessMs
0,misc,1783271979539,1783271979847,308
1,use:read,1783271980339,1783271980348,9
2,res:read,1783271980673,1783271980849,176
3,use:read,1783271986199,1783271986361,162
4,res:read,1783271986714,1783271986862,148
5,use:run,1783271989969,1783271990370,401
6,res:run,1783272009289,1783272009409,120
7,use:run,1783272092116,1783272092572,456
8,res:run,1783272109657,1783272110107,450
9,use:run,1783272122518,1783272122632,114
10,res:run,1783272132937,1783272133154,217
11,use:write,1783272138564,1783272138665,101
12,res:write,1783272140242,1783272140670,428
13,use:run,1783272147852,1783272148185,333
14,res:run,1783272165606,1783272165719,113
15,use:run,1783272168513,1783272168726,213
16,res:run,1783272171209,1783272171231,22
17,use:read,1783272175069,1783272175238,169
18,res:read,1783272175784,1783272176240,456
19,use:write,1783272178857,1783272179246,389
20,res:write,1783272180361,1783272180750,389
21,use:write,1783272186066,1783272186260,194
22,res:write,1783272187571,1783272187763,192
23,use:write,1783272327518,1783272327574,56
24,res:write,1783272329205,1783272329581,376
25,use:run,1783272337062,1783272337110,48
26,res:run,1783272339696,1783272340122,426
27,use:read,1783272345789,1783272346141,352
28,res:read,1783272346296,1783272346643,347
29,use:read,1783272349255,1783272349655,400
30,res:read,1783272350226,1783272350659,433
31,use:read,1783272363415,1783272363710,295
32,res:read,1783272364254,1783272364713,459
33,use:run,1783272371202,1783272371238,36
34,res:run,1783272373401,1783272373746,345
35,use:read,1783272377675,1783272377762,87
36,res:read,1783272378394,1783272378766,372
37,use:spawn,1783272485486,1783272485667,181
38,res:spawn,1783272537792,1783272537849,57
39,use:read,1783272539905,1783272540358,453
40,res:read,1783272541091,1783272541363,272
41,use:write,1783272547405,1783272547885,480
42,res:write,1783272548681,1783272548888,207
43,use:read,1783272556708,1783272556919,211
44,res:read,1783272557117,1783272557422,305
45,use:read,1783272570319,1783272570471,152
46,res:read,1783272571194,1783272571475,281
47,use:read,1783272616282,1783272616636,354
48,res:read,1783272617480,1783272617639,159
49,use:run,1783272620848,1783272621151,303
50,res:run,1783272623068,1783272623157,89
51,use:run,1783272626845,1783272627172,327
52,res:run,1783272632995,1783272633196,201
53,use:read,1783272731292,1783272731560,268
54,res:read,1783272732487,1783272732565,78
55,use:run,1783272744347,1783272744611,264
56,res:run,1783272750703,1783272751136,433
57,use:run,1783272764411,1783272764687,276
58,res:run,1783272784587,1783272784761,174
59,use:other,1783272787397,1783272787773,376
60,res:other,1783272787752,1783272787773,21
61,use:write,1783272793992,1783272794298,306
62,res:write,1783272795774,1783272795805,31
63,use:read,1783272803887,1783272804339,452
64,res:read,1783272804315,1783272804339,24
65,use:read,1783272810373,1783272810863,490
66,res:read,1783272811491,1783272811862,371
67,use:run,1783272815307,1783272815375,68
68,res:run,1783272816738,1783272816881,143
69,use:read,1783272872749,1783272873095,346
70,res:read,1783272873686,1783272874098,412
71,use:read,1783272886732,1783272887148,416
72,res:read,1783272887327,1783272887651,324
73,use:run,1783272898573,1783272898688,115
74,res:run,1783272911179,1783272911236,57
75,use:write,1783272924160,1783272924287,127
76,res:write,1783272925617,1783272925793,176
77,use:write,1783273000406,1783273000572,166
78,res:write,1783273001222,1783273001576,354
79,use:read,1783273010995,1783273011106,111
80,res:read,1783273011710,1783273012108,398
81,use:run,1783273014854,1783273015117,263
82,res:run,1783273024150,1783273024150,0
83,use:read,1783273159722,1783273160143,421
84,res:read,1783273160608,1783273160646,38
85,use:spawn,1783273167154,1783273167170,16
86,res:spawn,1783273208656,1783273208819,163
87,use:read,1783273211268,1783273211327,59
88,res:read,1783273211829,1783273212330,501
89,use:write,1783273225021,1783273225378,357
90,res:write,1783273226357,1783273226383,26
