# 勘误注（席二·归档时加）：本卷幕二作废——mouse.wheel 未先 mouse.move，滚轮落 (0,0) 未中 #room，
# 锚点 0.00＝导航未发生（坑册#2 同类：验收点位先验虚实）。幕二有效证据见 B3_towerY值守_幕二修正.log。
# 本卷幕一（素手 14 分钟）有效：tower 恒 0.00·rAF 活·machine ±3px=lens 慢漂设计特性（写者分离对照）。
towerY 值守 · 2026-07-16T11:34:23.859Z
—— 幕一：素手（期望 tower 恒 0）——
[2026-07-16T11:34:29.151Z] 素手#0 tower=0.00 machine=3.85 rAF=活
[2026-07-16T11:34:59.155Z] 素手#1 tower=0.00 machine=-3.79 rAF=活
[2026-07-16T11:35:29.161Z] 素手#2 tower=0.00 machine=3.73 rAF=活
[2026-07-16T11:35:59.168Z] 素手#3 tower=0.00 machine=-3.65 rAF=活
[2026-07-16T11:36:29.172Z] 素手#4 tower=0.00 machine=3.55 rAF=活
[2026-07-16T11:36:59.178Z] 素手#5 tower=0.00 machine=-3.47 rAF=活
[2026-07-16T11:37:29.181Z] 素手#6 tower=0.00 machine=3.35 rAF=活
[2026-07-16T11:37:59.187Z] 素手#7 tower=0.00 machine=-3.24 rAF=活
[2026-07-16T11:38:29.193Z] 素手#8 tower=0.00 machine=3.12 rAF=活
[2026-07-16T11:38:59.200Z] 素手#9 tower=0.00 machine=-2.98 rAF=活
[2026-07-16T11:39:29.203Z] 素手#10 tower=0.00 machine=2.84 rAF=活
[2026-07-16T11:39:59.207Z] 素手#11 tower=0.00 machine=-2.69 rAF=活
[2026-07-16T11:40:29.212Z] 素手#12 tower=0.00 machine=2.54 rAF=活
[2026-07-16T11:40:59.222Z] 素手#13 tower=0.00 machine=-2.38 rAF=活
[2026-07-16T11:41:29.227Z] 素手#14 tower=0.00 machine=2.21 rAF=活
[2026-07-16T11:41:59.231Z] 素手#15 tower=0.00 machine=-2.05 rAF=活
[2026-07-16T11:42:29.235Z] 素手#16 tower=0.00 machine=1.87 rAF=活
[2026-07-16T11:42:59.242Z] 素手#17 tower=0.00 machine=-1.69 rAF=活
[2026-07-16T11:43:29.248Z] 素手#18 tower=0.00 machine=1.51 rAF=活
[2026-07-16T11:43:59.253Z] 素手#19 tower=0.00 machine=-1.29 rAF=活
[2026-07-16T11:44:29.257Z] 素手#20 tower=0.00 machine=1.10 rAF=活
[2026-07-16T11:44:59.263Z] 素手#21 tower=0.00 machine=-0.92 rAF=活
[2026-07-16T11:45:29.267Z] 素手#22 tower=0.00 machine=0.72 rAF=活
[2026-07-16T11:45:59.272Z] 素手#23 tower=0.00 machine=-0.52 rAF=活
[2026-07-16T11:46:29.275Z] 素手#24 tower=0.00 machine=0.31 rAF=活
[2026-07-16T11:46:59.280Z] 素手#25 tower=0.00 machine=-0.11 rAF=活
[2026-07-16T11:47:29.285Z] 素手#26 tower=0.00 machine=-0.09 rAF=活
[2026-07-16T11:47:59.290Z] 素手#27 tower=0.00 machine=0.30 rAF=活
—— 幕二：下摇入带库后手离（期望到位≤3s 后恒定）——
[2026-07-16T11:48:32.314Z] 下摇后3s tower=0.00 machine=0.74 rAF=活
[2026-07-16T11:48:32.316Z] 手离#0 tower=0.00 machine=0.74 rAF=活
[2026-07-16T11:49:02.320Z] 手离#1 tower=0.00 machine=-0.53 rAF=活
[2026-07-16T11:49:32.322Z] 手离#2 tower=0.00 machine=0.31 rAF=活
[2026-07-16T11:50:02.327Z] 手离#3 tower=0.00 machine=-0.12 rAF=活
[2026-07-16T11:50:32.332Z] 手离#4 tower=0.00 machine=-0.08 rAF=活
[2026-07-16T11:51:02.335Z] 手离#5 tower=0.00 machine=0.28 rAF=活
[2026-07-16T11:51:32.339Z] 手离#6 tower=0.00 machine=-0.50 rAF=活
[2026-07-16T11:52:02.344Z] 手离#7 tower=0.00 machine=0.70 rAF=活
[2026-07-16T11:52:32.349Z] 手离#8 tower=0.00 machine=-0.89 rAF=活
[2026-07-16T11:53:02.352Z] 手离#9 tower=0.00 machine=1.11 rAF=活
[2026-07-16T11:53:32.355Z] 手离#10 tower=0.00 machine=-1.28 rAF=活
[2026-07-16T11:54:02.361Z] 手离#11 tower=0.00 machine=1.48 rAF=活
[2026-07-16T11:54:32.366Z] 手离#12 tower=0.00 machine=-1.66 rAF=活
[2026-07-16T11:55:02.371Z] 手离#13 tower=0.00 machine=1.85 rAF=活
[2026-07-16T11:55:32.375Z] 手离#14 tower=0.00 machine=-2.03 rAF=活
[2026-07-16T11:56:02.382Z] 手离#15 tower=0.00 machine=2.21 rAF=活
[2026-07-16T11:56:32.386Z] 手离#16 tower=0.00 machine=-2.36 rAF=活
[2026-07-16T11:57:02.391Z] 手离#17 tower=0.00 machine=2.53 rAF=活
[2026-07-16T11:57:32.394Z] 手离#18 tower=0.00 machine=-2.69 rAF=活
[2026-07-16T11:58:02.399Z] 手离#19 tower=0.00 machine=2.84 rAF=活
[2026-07-16T11:58:32.404Z] 手离#20 tower=0.00 machine=-2.98 rAF=活
[2026-07-16T11:59:02.410Z] 手离#21 tower=0.00 machine=3.10 rAF=活
[2026-07-16T11:59:32.414Z] 手离#22 tower=0.00 machine=-3.23 rAF=活
[2026-07-16T12:00:02.420Z] 手离#23 tower=0.00 machine=3.36 rAF=活
[2026-07-16T12:00:32.426Z] 手离#24 tower=0.00 machine=-3.45 rAF=活
[2026-07-16T12:01:02.429Z] 手离#25 tower=0.00 machine=3.55 rAF=活
[2026-07-16T12:01:32.436Z] 手离#26 tower=0.00 machine=-3.65 rAF=活
[2026-07-16T12:02:02.257Z] 手离#27 tower=0.00 machine=3.72 rAF=活
[2026-07-16T12:02:32.262Z] 手离#28 tower=0.00 machine=-3.79 rAF=活
[2026-07-16T12:03:02.266Z] 手离#29 tower=0.00 machine=3.85 rAF=活
[2026-07-16T12:03:32.271Z] 手离#30 tower=0.00 machine=-3.90 rAF=活
[2026-07-16T12:04:02.274Z] 手离#31 tower=0.00 machine=3.94 rAF=活

判决：幕一 tower 波动 0.00px（期望 0）·幕二稳态波动 0.00px（期望 <1）·幕二锚点 0.00
machine（lens 写域·对照）幕一波动 7.64px·幕二 7.84px
结论：towerY 无漂移（旧案已由渲染批写者分离根治·值守盖章）
