t,emitT,seq,verb,outcome,m,tags,special,sig,k,clearedBy,slot
24000,24000,0,WRITE,OK,0.500000,,,,,,10e3a2b1
26200,26200,1,READ,OK,0.500000,,,,,,2f4c81d0
28400,28400,2,RUN,OK,0.500000,,,,,,3a9b52c7
30600,30600,3,SAVE,OK,0.500000,,,,,,4d17e6f2
32800,32800,4,SPAWN,OK,0.500000,,,,,,5b28a9e4
35000,35000,5,WRITE,FAIL,0.500000,,,,,,6c39b1f5
37200,37200,6,OTHER,NA,0.500000,,RESOLVE,,,,7d4ac2a6
39400,39400,7,ASK,NA,0.500000,,,,,,8e5bd3b7
43600,43600,8,OTHER,NA,0.500000,,RESOLVE,,,,9f6ce4c8
46500,46500,9,WRITE,OK,0.500000,,,,,,00022220
47400,47400,10,RUN,OK,0.500000,,,,,,00023331
48300,48300,11,WRITE,OK,0.500000,,,,,,00024442
49200,49200,12,RUN,OK,0.500000,,,,,,00025553
50100,50100,13,WRITE,OK,0.500000,,,,,,00026664
51000,51000,14,RUN,OK,0.500000,,,,,,00027775
51900,51900,15,WRITE,OK,0.500000,,,,,,00028886
52800,52800,16,RUN,OK,0.500000,,,,,,00029997
53700,53700,17,WRITE,OK,0.500000,,,,,,0002aaa8
54600,54600,18,RUN,OK,0.500000,,,,,,0002bbb9
55500,55500,19,WRITE,OK,0.500000,,,,,,0002ccca
56400,56400,20,RUN,OK,0.500000,,,,,,0002dddb
57300,57300,21,WRITE,OK,0.500000,,,,,,0002eeec
58200,58200,22,RUN,OK,0.500000,,,,,,0002fffd
60000,60000,23,OTHER,NA,0.500000,,STUCK_LOOP,,,,aa11bb22
76000,76000,24,OTHER,NA,0.500000,,STUCK_CLEARED,,,,aa11bb23
76400,76400,25,OTHER,NA,0.500000,,RESOLVE,,,,aa11bb24
83000,83000,26,READ,OK,0.500000,,,,,,b1c2d3e4
97000,97000,27,WRITE,OK,0.500000,,,,,,c2d3e4f5
104500,104500,28,ASK,NA,0.500000,,,,,,d3e4f5a6
115500,115500,29,OTHER,NA,0.500000,,RESOLVE,,,,e4f5a6b7
116500,116500,30,OTHER,NA,0.500000,,DONE,,,,f5a6b7c8
142500,142500,31,WRITE,OK,0.500000,,,,,,000740a0
144100,144100,32,READ,OK,0.500000,,,,,,000753f7
145700,145700,33,RUN,OK,0.500000,,,,,,0007674e
147300,147300,34,SAVE,OK,0.500000,,,,,,00077aa5
148900,148900,35,SPAWN,OK,0.500000,,,,,,00078dfc
150500,150500,36,WRITE,FAIL,0.500000,,,,,,0007a153
152100,152100,37,ASK,NA,0.500000,,,,,,0007b4aa
153700,153700,38,OTHER,NA,0.500000,,RESOLVE,,,,0007c801
155300,155300,39,WRITE,OK,0.500000,,,,,,0007db58
156900,156900,40,RUN,OK,0.500000,,,,,,0007eeaf
158500,158500,41,OTHER,NA,0.500000,,RESOLVE,,,,00080206
163000,163000,42,OTHER,NA,0.500000,,DONE,,,,ffee0011
