t,emitT,seq,verb,outcome,m,tags,special,sig,k,clearedBy,slot
1782214156056,1782214156056,0,OTHER,NA,0.000000,,SESSION_START,,,,
1782214156056,1782214156056,1,RUN,OK,0.174128,,,7e3198ac,,,ef425083
1782214156107,1782214156107,2,RUN,OK,0.214021,,,7e3198ac,,,ef425083
1782214169166,1782214169166,3,READ,OK,0.450201,,,93e49629,,,bc693993
1782214169686,1782214169686,4,READ,OK,0.514060,,,93e49629,,,145bdc15
1782214170574,1782214170574,5,READ,OK,0.498053,,,93e49629,,,92c63586
1782214170726,1782214170726,6,READ,OK,0.384860,,,93e49629,,,01c16b3e
1782214180595,1782214180595,7,READ,OK,0.299267,,,93e49629,,,1756d5c0
1782214181534,1782214181534,8,READ,OK,0.372856,,,93e49629,,,e084cb0a
1782214182069,1782214182069,9,READ,OK,0.542688,,,93e49629,,,571d7c61
1782214182275,1782214182275,10,READ,OK,0.240780,,,93e49629,,,85727a7a
1782214199813,1782214199813,11,READ,OK,0.407105,,,93e49629,,,79f520fb
1782214200777,1782214200777,12,READ,OK,0.542688,,,93e49629,,,251c8fd7
1782214203333,1782214203333,13,RUN,OK,0.011559,,,7e3198ac,,,4fddbea1
1782214220707,1782214220707,14,RUN,OK,0.010174,,,7e3198ac,,,4fddbea1
1782214223078,1782214223078,15,RUN,OK,0.016626,,,7e3198ac,,,4fddbea1
1782214228770,1782214228770,16,RUN,OK,0.017969,,,7e3198ac,,,4fddbea1
1782214248766,1782214248766,17,RUN,OK,0.009776,,,7e3198ac,,,4fddbea1
1782214248906,1782214248906,18,READ,OK,0.431737,,,93e49629,,,75d90bba
1782214270922,1782214270922,19,READ,OK,0.532891,,,93e49629,,,38154751
1782214271625,1782214271625,20,READ,OK,0.242721,,,93e49629,,,b75577c7
1782214285304,1782214285304,21,READ,OK,0.365814,,,93e49629,,,9af1b6ee
1782214291644,1782214291644,22,RUN,OK,0.013913,,,7e3198ac,,,4fddbea1
1782214381846,1782214381846,23,RUN,OK,0.021573,,,7e3198ac,,,4fddbea1
1782215073528,1782215073528,24,RUN,OK,0.011164,,,7e3198ac,,,4fddbea1
1782215076991,1782215076991,25,RUN,OK,0.011953,,,7e3198ac,,,4fddbea1
1782215076991,1782215076991,26,OTHER,NA,0.000000,,DONE,,,,
1782216893140,1782216893140,27,OTHER,NA,0.000000,,SESSION_START,,,,
1782216893140,1782216893140,28,READ,OK,0.086441,,,93e49629,,,251c8fd7
1782216953566,1782216953566,29,WRITE,OK,0.763267,,,97b6bd69,,,bf045f17
1782216978234,1782216978234,30,WRITE,FAIL,0.500000,,,00f4de6b,,,b1ec3f72
1782216982919,1782216982919,31,READ,OK,0.088138,,,93e49629,,,8b1096b2
1782216995498,1782216995498,32,WRITE,OK,0.353444,,,97b6bd69,,,b1ec3f72
1782217003410,1782217003410,33,RUN,OK,0.052612,,,7e3198ac,,,4fddbea1
1782217028723,1782217028723,34,RUN,OK,0.023817,,,7e3198ac,,,b82b28c6
1782217053176,1782217053176,35,WRITE,OK,0.399721,,,9df1e128,,,d6ffad88
1782217061691,1782217061691,36,READ,OK,0.131529,,,93e49629,,,7ee3bf5d
1782217078960,1782217078960,37,WRITE,OK,0.658614,,,97b6bd69,,,f70f7ed2
1782217084259,1782217084259,38,WRITE,OK,0.176722,,,9df1e128,,,c1f91b26
1782217088057,1782217088057,39,RUN,OK,0.015080,,,7e3198ac,,,4fddbea1
1782217110670,1782217110670,40,WRITE,OK,0.176722,,,9df1e128,,,def379de
1782217133988,1782217133988,41,WRITE,OK,0.547115,,,9df1e128,,,bfb63d27
1782217156621,1782217156621,42,RUN,OK,0.124867,,,7e3198ac,,,4fddbea1
1782217168719,1782217168719,43,WRITE,OK,0.176722,,,9df1e128,,,ce30c493
1782217175920,1782217175920,44,WRITE,OK,0.176722,,,9df1e128,,,ce30c493
1782217193788,1782217193788,45,WRITE,OK,0.288221,,,9df1e128,,,91caac0d
1782217214252,1782217214252,46,RUN,OK,0.029324,,,7e3198ac,,,b82b28c6
1782217237048,1782217237048,47,RUN,OK,0.069862,,,7e3198ac,,,4fddbea1
1782217419737,1782217419737,48,RUN,OK,0.013522,,,7e3198ac,,,4fddbea1
1782217439355,1782217439355,49,READ,OK,0.579738,,,93e49629,,,7e0ea521
1782217451623,1782217451623,50,READ,OK,0.545505,,,93e49629,,,7e0ea521
1782217459352,1782217459352,51,READ,OK,0.556177,,,93e49629,,,7e0ea521
1782217540766,1782217540766,52,READ,OK,0.231240,,,93e49629,,,d7df4bf0
1782217562779,1782217562779,53,RUN,OK,0.086483,,,7e3198ac,,,4fddbea1
1782217630362,1782217630362,54,RUN,OK,0.012150,,,7e3198ac,,,4fddbea1
1782217673049,1782217673049,55,WRITE,OK,0.258893,,,9df1e128,,,332ba248
1782217689349,1782217689349,56,RUN,OK,0.133617,,,7e3198ac,,,4fddbea1
1782217707348,1782217707348,57,RUN,OK,0.018924,,,7e3198ac,,,4fddbea1
1782217721762,1782217721762,58,RUN,OK,0.041293,,,7e3198ac,,,4fddbea1
1782217741649,1782217741649,59,WRITE,OK,0.176722,,,9df1e128,,,4da45ada
1782217751254,1782217751254,60,WRITE,OK,0.111499,,,9df1e128,,,4da45ada
1782217758934,1782217758934,61,WRITE,OK,0.176722,,,9df1e128,,,4da45ada
1782217763389,1782217763389,62,WRITE,OK,0.176722,,,9df1e128,,,4da45ada
1782217772693,1782217772693,63,RUN,OK,0.157468,,,7e3198ac,,,4fddbea1
1782217772693,1782217772693,64,OTHER,NA,0.000000,,DONE,,,,
1782461210285,1782461210285,65,OTHER,NA,0.000000,,SESSION_START,,,,
1782461210285,1782461210285,66,RUN,OK,0.684264,,,7e3198ac,,,4fddbea1
1782461303182,1782461303182,67,WRITE,OK,0.756117,,,97b6bd69,,,6d643a32
1782461364092,1782461364092,68,RUN,OK,0.808438,,,7e3198ac,,,4fddbea1
1782461369750,1782461369750,69,READ,OK,0.000000,,,93e49629,,,183ee803
1782461491215,1782461491215,70,WRITE,OK,0.745540,,,97b6bd69,,,294a8b58
1782461528099,1782461528099,71,RUN,OK,0.713225,,,7e3198ac,,,4fddbea1
1782461534198,1782461534198,72,READ,OK,0.000000,,,93e49629,,,7aa23117
1782461704872,1782461704872,73,RUN,OK,1.000000,,,7e3198ac,,,5f906c7c
1782461962809,1782461962809,74,READ,OK,0.000211,,,75816f9f,,,75816f9f
1782462003062,1782462003062,75,READ,OK,0.302905,,,7cb243a5,,,7cb243a5
1782462003936,1782462003936,76,READ,OK,0.342898,,,7cb243a5,,,7cb243a5
1782462004747,1782462004747,77,READ,OK,0.324865,,,7cb243a5,,,7cb243a5
1782462005232,1782462005232,78,READ,OK,0.283671,,,7cb243a5,,,7cb243a5
1782462168360,1782462168360,79,READ,OK,0.288419,,,7cb243a5,,,7cb243a5
1782462170210,1782462170210,80,READ,OK,0.309598,,,7cb243a5,,,7cb243a5
1782462170959,1782462170959,81,READ,OK,0.281893,,,7cb243a5,,,7cb243a5
1782462175634,1782462175634,82,READ,OK,0.326137,,,7cb243a5,,,7cb243a5
1782462311193,1782462311193,83,WRITE,OK,0.734219,,,97b6bd69,,,eb497adb
1782462321625,1782462321625,84,RUN,OK,0.263296,,,7e3198ac,,,4fddbea1
1782462325251,1782462325251,85,READ,OK,0.000000,,,93e49629,,,95ef5545
1782462388393,1782462388393,86,WRITE,OK,0.445997,,,9df1e128,,,75f87396
1782462444735,1782462444735,87,RUN,OK,0.811086,,,7e3198ac,,,4fddbea1
1782462453047,1782462453047,88,READ,OK,0.000000,,,93e49629,,,95ef5545
1782462535963,1782462535963,89,WRITE,OK,0.768767,,,97b6bd69,,,52254e90
1782463080547,1782463080547,90,WRITE,OK,0.692350,,,97b6bd69,,,b48c69c1
1782463095773,1782463095773,91,RUN,OK,0.277600,,,7e3198ac,,,4fddbea1
