t,emitT,seq,verb,outcome,m,tags,special,sig,k,clearedBy,slot
21222,21222,0,OTHER,NA,0.000000,,SESSION_START,,,,
21222,21222,1,READ,OK,0.470520,,,s1d76b935,,,b73da56c
22109,22109,2,RUN,OK,0.019684,,,s636ffe63,,,39a4d189
27438,27438,3,READ,OK,0.491452,,,s1d76b935,,,e8552c93
28444,28444,4,RUN,OK,0.006366,,,s636ffe63,,,05e42f30
34094,34094,5,READ,OK,0.260600,,,s1d76b935,,,db51f061
35465,35465,6,RUN,OK,0.006568,,,s636ffe63,,,45974823
42734,42734,7,RUN,OK,0.008379,,,s636ffe63,,,56e2d476
52134,52134,8,RUN,OK,0.283572,,,s636ffe63,,,39a4d189
57918,57918,9,RUN,OK,0.013327,,,s636ffe63,,,7a388e8a
75914,75914,10,OTHER,FAIL,0.500000,,,sbef2a26d,,,f1832731
80111,80111,11,READ,OK,0.000211,,,sf97e018e,,,75816f9f
81184,81184,12,RUN,OK,0.005961,,,s636ffe63,,,7a388e8a
86133,86133,13,RUN,OK,0.007777,,,s636ffe63,,,7a388e8a
104335,104335,14,RUN,OK,0.007978,,,s636ffe63,,,7a388e8a
113581,113581,15,RUN,OK,0.005555,,,s636ffe63,,,7a388e8a
186551,186551,16,OTHER,OK,0.300000,,,scbfe88ab,,,f1832731
189031,189031,17,OTHER,OK,0.300000,,,scbfe88ab,,,f1832731
192001,192001,18,OTHER,OK,0.300000,,,scbfe88ab,,,f1832731
194971,194971,19,OTHER,OK,0.300000,,,scbfe88ab,,,f1832731
196849,196849,20,OTHER,OK,0.300000,,,scbfe88ab,,,f1832731
200145,200145,21,RUN,OK,0.061337,,,s636ffe63,,,7a388e8a
218820,218820,22,RUN,OK,0.017011,,,s636ffe63,,,7a388e8a
256585,256585,23,OTHER,OK,0.300000,,,s25039d63,,,38839b78
259076,259076,24,RUN,OK,0.022324,,,s636ffe63,,,7a388e8a
606952,606952,25,OTHER,OK,0.300000,,,s25039d63,,,38839b78
606956,606956,26,OTHER,OK,0.300000,,,s25039d63,,,38839b78
