t,S,T,A,wow,needle,phase,weather,pendingAsk
2729,0.000000,0.000000,0.000000,0.000000,0.000000,IDLE,CLEAR,0
2829,0.000000,0.000000,0.282673,0.000000,0.000000,WORKING,CLEAR,0
2929,0.000000,0.000000,0.281880,0.000000,0.000000,WORKING,CLEAR,0
3029,0.000000,0.000000,0.281088,0.000000,0.000000,WORKING,CLEAR,0
3053,0.000000,0.000000,0.280898,0.000000,0.000000,WORKING,CLEAR,0
3153,0.000000,0.000000,0.483603,0.000000,0.000000,WORKING,CLEAR,0
3253,0.000000,0.000000,0.482466,0.000000,0.000000,WORKING,CLEAR,0
3353,0.000000,0.000000,0.481330,0.000000,0.000000,WORKING,CLEAR,0
3453,0.000000,0.000000,0.480196,0.000000,0.000000,WORKING,CLEAR,0
3553,0.000000,0.000000,0.479063,0.000000,0.000000,WORKING,CLEAR,0
3653,0.000000,0.000000,0.477931,0.000000,0.000000,WORKING,CLEAR,0
3753,0.000000,0.000000,0.476801,0.000000,0.000000,WORKING,CLEAR,0
3853,0.000000,0.000000,0.475672,0.000000,0.000000,WORKING,CLEAR,0
3953,0.000000,0.000000,0.474544,0.000000,0.000000,WORKING,CLEAR,0
4053,0.000000,0.000000,0.473418,0.000000,0.000000,WORKING,CLEAR,0
4153,0.000000,0.000000,0.472293,0.000000,0.000000,WORKING,CLEAR,0
4253,0.000000,0.000000,0.471169,0.000000,0.000000,WORKING,CLEAR,0
4353,0.000000,0.000000,0.470046,0.000000,0.000000,WORKING,CLEAR,0
4453,0.000000,0.000000,0.468925,0.000000,0.000000,WORKING,CLEAR,0
4553,0.000000,0.000000,0.467806,0.000000,0.000000,WORKING,CLEAR,0
4653,0.000000,0.000000,0.466688,0.000000,0.000000,WORKING,CLEAR,0
4753,0.000000,0.000000,0.465571,0.000000,0.000000,WORKING,CLEAR,0
4853,0.000000,0.000000,0.464455,0.000000,0.000000,WORKING,CLEAR,0
4953,0.000000,0.000000,0.463341,0.000000,0.000000,WORKING,CLEAR,0
5053,0.000000,0.000000,0.462229,0.000000,0.000000,WORKING,CLEAR,0
5153,0.000000,0.000000,0.461117,0.000000,0.000000,WORKING,CLEAR,0
5253,0.000000,0.000000,0.460007,0.000000,0.000000,WORKING,CLEAR,0
5353,0.000000,0.000000,0.458899,0.000000,0.000000,WORKING,CLEAR,0
