t,emitT,seq,verb,outcome,m,tags,special,sig,k,clearedBy,slot
2729,2729,0,OTHER,NA,0.000000,,SESSION_START,,,,
2729,2729,1,READ,OK,0.542757,,,s7ccbcc08,,,351fb046
3053,3053,2,READ,OK,0.455074,,,s7ccbcc08,,,ff15be42
9056,9056,3,RUN,OK,0.049510,,,s5f3535ae,,,ba614c32
10575,10575,4,RUN,OK,0.028961,,,s5f3535ae,,,51000d16
23713,23713,5,RUN,OK,0.011559,,,s5f3535ae,,,51000d16
26143,26143,6,RUN,OK,0.011953,,,s5f3535ae,,,ba614c32
78247,78247,7,RUN,OK,0.042487,,,s5f3535ae,,,51000d16
561389,561389,8,RUN,OK,0.273090,,,s5f3535ae,,,ba614c32
574050,574050,9,RUN,OK,0.162980,,,s5f3535ae,,,ba614c32
581473,581473,10,RUN,OK,0.011164,,,s5f3535ae,,,ba614c32
584328,584328,11,RUN,OK,0.008379,,,s5f3535ae,,,ba614c32
587328,587328,12,READ,OK,0.629422,,,s7ccbcc08,,,6c5c3fa1
588548,588548,13,RUN,OK,0.020442,,,s5f3535ae,,,ba614c32
633990,633990,14,RUN,FAIL,0.500000,,,secf15c82,,,ba614c32
658359,658359,15,RUN,OK,0.651761,,,s5f3535ae,,,ba614c32
674422,674422,16,WRITE,OK,0.530167,,,sed74ae2c,,,1895cb5a
678821,678821,17,RUN,OK,0.236855,,,s5f3535ae,,,78edf44b
690537,690537,18,RUN,OK,0.012347,,,s5f3535ae,,,51000d16
714689,714689,19,RUN,OK,0.023445,,,s5f3535ae,,,51000d16
733503,733503,20,RUN,OK,0.072824,,,s5f3535ae,,,ba614c32
742278,742278,21,RUN,OK,0.018352,,,s5f3535ae,,,5b3b8fd4
766900,766900,22,RUN,OK,0.620297,,,s5f3535ae,,,ba614c32
790772,790772,23,RUN,OK,0.624534,,,s5f3535ae,,,ba614c32
803931,803931,24,RUN,FAIL,0.500000,,,secf15c82,,,51000d16
819914,819914,25,RUN,FAIL,0.500000,,,secf15c82,,,ba614c32
826331,826331,26,RUN,OK,0.012739,,,s5f3535ae,,,ba614c32
832109,832109,27,RUN,OK,0.013522,,,s5f3535ae,,,ba614c32
845994,845994,28,RUN,OK,0.014303,,,s5f3535ae,,,ba614c32
887273,887273,29,RUN,FAIL,0.500000,,,secf15c82,,,51000d16
898741,898741,30,RUN,OK,0.033804,,,s5f3535ae,,,51000d16
912220,912220,31,RUN,OK,0.011559,,,s5f3535ae,,,ba614c32
922092,922092,32,RUN,OK,0.015080,,,s5f3535ae,,,ba614c32
934360,934360,33,RUN,OK,0.014108,,,s5f3535ae,,,ba614c32
1004659,1004659,34,WRITE,OK,0.288221,,,sf980a66b,,,91102dcb
1007730,1007730,35,READ,OK,0.179256,,,s7ccbcc08,,,351fb046
1013506,1013506,36,WRITE,OK,0.176722,,,sf980a66b,,,91102dcb
1036448,1036448,37,WRITE,OK,0.370393,,,sf980a66b,,,91102dcb
1063546,1063546,-1,ASK,NA,0.300000,,,s1575f97d,,,
1036448,1036448,38,OTHER,NA,0.000000,,DONE,,,,
3063274,3063274,39,OTHER,NA,0.000000,,SESSION_START,,,,
3063274,3063274,-1,ASK,NA,0.000000,,ASK_CLEARED,,,,
3283011,3283011,41,RUN,OK,0.053743,,,s5f3535ae,,,51000d16
3702048,3702048,42,RUN,OK,0.041464,,,s5f3535ae,,,51000d16
3728237,3728237,43,RUN,FAIL,0.500000,,,secf15c82,,,ba614c32
3792740,3792740,44,RUN,OK,0.774868,,,s5f3535ae,,,51000d16
3833553,3833553,45,RUN,OK,0.019494,,,s5f3535ae,,,51000d16
3913570,3913570,46,RUN,OK,0.019114,,,s5f3535ae,,,51000d16
3962039,3962039,47,WRITE,OK,0.571911,,,sed74ae2c,,,0ff51ca1
3974319,3974319,48,RUN,OK,0.497118,,,s5f3535ae,,,78edf44b
4004260,4004260,49,RUN,OK,0.014108,,,s5f3535ae,,,ba614c32
4029252,4029252,50,RUN,OK,0.016818,,,s5f3535ae,,,ba614c32
4099696,4099696,51,WRITE,OK,0.653161,,,sed74ae2c,,,9b1b911d
4103697,4103697,52,READ,OK,0.000000,,,s8a4a335b,,,75816f9f
4231028,4231028,53,RUN,OK,1.000000,,,s5f3535ae,,,ba614c32
4231050,4231050,54,OTHER,OK,0.300000,,,sc6df9932,,,04c6799e
4251555,4251555,55,OTHER,OK,0.300000,,,sc6df9932,,,04c6799e
4254162,4254162,56,OTHER,OK,0.300000,,,sc6df9932,,,04c6799e
4260628,4260628,57,OTHER,OK,0.300000,,,sc6df9932,,,04c6799e
4262993,4262993,58,OTHER,OK,0.300000,,,sc6df9932,,,04c6799e
4267192,4267192,59,READ,OK,0.025145,,,s7ccbcc08,,,1b473e65
4280841,4280841,60,RUN,FAIL,0.500000,,,s801e85dc,,,94586e76
4284794,4284794,61,READ,OK,0.025145,,,s7ccbcc08,,,1b473e65
4297906,4297906,62,RUN,OK,0.297293,,,s5f3535ae,,,ba614c32
4312180,4312180,63,RUN,OK,0.011164,,,s5f3535ae,,,ba614c32
4326176,4326176,64,WRITE,OK,0.576443,,,sed74ae2c,,,1fdff607
4450036,4450036,65,RUN,OK,1.000000,,,s5f3535ae,,,ba614c32
4456638,4456638,66,READ,OK,0.025145,,,s7ccbcc08,,,985cb59e
4489541,4489541,67,OTHER,OK,0.300000,,,sdddea90a,,,67a8136c
4492186,4492186,68,READ,OK,0.399841,,,s7ccbcc08,,,985cb59e
4534626,4534626,69,WRITE,OK,0.576443,,,sed74ae2c,,,bac3e2b8
4538375,4538375,70,RUN,OK,0.005352,,,s5f3535ae,,,ba614c32
4563358,4563358,71,RUN,OK,0.236587,,,s5f3535ae,,,51000d16
4567004,4567004,72,READ,OK,0.369345,,,s7ccbcc08,,,e153e5ec
4611073,4611073,73,WRITE,OK,0.536017,,,sed74ae2c,,,33a9d20b
4615484,4615484,74,RUN,OK,0.005352,,,s5f3535ae,,,78edf44b
4634632,4634632,75,RUN,OK,0.003720,,,s5f3535ae,,,51000d16
4642790,4642790,76,READ,OK,0.452284,,,s7ccbcc08,,,da5b3d03
4654380,4654380,77,RUN,OK,0.387426,,,s5f3535ae,,,78edf44b
4669345,4669345,78,RUN,OK,0.327906,,,s5f3535ae,,,ba614c32
4676943,4676943,79,RUN,OK,0.008979,,,s5f3535ae,,,ba614c32
4685896,4685896,80,RUN,OK,0.017778,,,s5f3535ae,,,ba614c32
4695993,4695993,81,RUN,OK,0.027322,,,s5f3535ae,,,ba614c32
4726762,4726762,82,RUN,OK,0.015080,,,s5f3535ae,,,51000d16
4800939,4800939,83,WRITE,OK,0.797192,,,sed74ae2c,,,93890d48
4849614,4849614,84,RUN,OK,0.786883,,,s5f3535ae,,,51000d16
4959119,4959119,85,RUN,OK,0.788832,,,s5f3535ae,,,51000d16
