t,S,T,A,wow,needle,phase,weather,pendingAsk
1782527212104,0.000000,0.000000,0.000000,0.000000,0.000000,IDLE,CLEAR,0
1782527212204,0.000000,0.000000,0.000000,0.000000,0.000000,IDLE,CLEAR,0
1782527212304,0.000000,0.000000,0.000000,0.000000,0.000000,IDLE,CLEAR,0
1782527212340,0.000000,0.000000,0.000000,0.000000,0.000000,IDLE,CLEAR,0
1782527212440,0.000000,0.000000,0.282673,0.000000,0.000000,WORKING,CLEAR,0
1782527212540,0.000000,0.000000,0.281880,0.000000,0.000000,WORKING,CLEAR,0
1782527212640,0.000000,0.000000,0.281088,0.000000,0.000000,WORKING,CLEAR,0
1782527212740,0.000000,0.000000,0.280298,0.000000,0.000000,WORKING,CLEAR,0
1782527212840,0.000000,0.000000,0.279510,0.000000,0.000000,WORKING,CLEAR,0
1782527212940,0.000000,0.000000,0.278724,0.000000,0.000000,WORKING,CLEAR,0
1782527213040,0.000000,0.000000,0.277939,0.000000,0.000000,WORKING,CLEAR,0
1782527213140,0.000000,0.000000,0.277156,0.000000,0.000000,WORKING,CLEAR,0
1782527213240,0.000000,0.000000,0.276375,0.000000,0.000000,WORKING,CLEAR,0
1782527213340,0.000000,0.000000,0.275596,0.000000,0.000000,WORKING,CLEAR,0
1782527213440,0.000000,0.000000,0.274818,0.000000,0.000000,WORKING,CLEAR,0
1782527213540,0.000000,0.000000,0.274042,0.000000,0.000000,WORKING,CLEAR,0
1782527213640,0.000000,0.000000,0.273268,0.000000,0.000000,WORKING,CLEAR,0
1782527213740,0.000000,0.000000,0.272496,0.000000,0.000000,WORKING,CLEAR,0
1782527213840,0.000000,0.000000,0.271725,0.000000,0.000000,WORKING,CLEAR,0
1782527213940,0.000000,0.000000,0.270956,0.000000,0.000000,WORKING,CLEAR,0
1782527214040,0.000000,0.000000,0.270189,0.000000,0.000000,WORKING,CLEAR,0
1782527214140,0.000000,0.000000,0.269424,0.000000,0.000000,WORKING,CLEAR,0
1782527214240,0.000000,0.000000,0.268660,0.000000,0.000000,WORKING,CLEAR,0
1782527214340,0.000000,0.000000,0.267898,0.000000,0.000000,WORKING,CLEAR,0
1782527214440,0.000000,0.000000,0.267138,0.000000,0.000000,WORKING,CLEAR,0
1782527214540,0.000000,0.000000,0.266380,0.000000,0.000000,WORKING,CLEAR,0
1782527214640,0.000000,0.000000,0.265623,0.000000,0.000000,WORKING,CLEAR,0
1782527214740,0.000000,0.000000,0.264868,0.000000,0.000000,WORKING,CLEAR,0
1782527214840,0.000000,0.000000,0.264115,0.000000,0.000000,WORKING,CLEAR,0
1782527214940,0.000000,0.000000,0.263364,0.000000,0.000000,WORKING,CLEAR,0
1782527215040,0.000000,0.000000,0.262614,0.000000,0.000000,WORKING,CLEAR,0
1782527215140,0.000000,0.000000,0.261866,0.000000,0.000000,WORKING,CLEAR,0
1782527215240,0.000000,0.000000,0.261120,0.000000,0.000000,WORKING,CLEAR,0
1782527215340,0.000000,0.000000,0.260375,0.000000,0.000000,WORKING,CLEAR,0
1782527215440,0.000000,0.000000,0.259633,0.000000,0.000000,WORKING,CLEAR,0
1782527215540,0.000000,0.000000,0.258892,0.000000,0.000000,WORKING,CLEAR,0
1782527215640,0.000000,0.000000,0.258152,0.000000,0.000000,WORKING,CLEAR,0
1782527215740,0.000000,0.000000,0.257415,0.000000,0.000000,WORKING,CLEAR,0
1782527215840,0.000000,0.000000,0.256679,0.000000,0.000000,WORKING,CLEAR,0
1782527215940,0.000000,0.000000,0.255945,0.000000,0.000000,WORKING,CLEAR,0
1782527216040,0.000000,0.000000,0.255212,0.000000,0.000000,WORKING,CLEAR,0
1782527216140,0.000000,0.000000,0.254482,0.000000,0.000000,WORKING,CLEAR,0
1782527216240,0.000000,0.000000,0.253753,0.000000,0.000000,WORKING,CLEAR,0
1782527216340,0.000000,0.000000,0.253026,0.000000,0.000000,WORKING,CLEAR,0
1782527216440,0.000000,0.000000,0.252300,0.000000,0.000000,WORKING,CLEAR,0
1782527216540,0.000000,0.000000,0.251576,0.000000,0.000000,WORKING,CLEAR,0
1782527216640,0.000000,0.000000,0.250854,0.000000,0.000000,WORKING,CLEAR,0
1782527216740,0.000000,0.000000,0.250134,0.000000,0.000000,WORKING,CLEAR,0
1782527216840,0.000000,0.000000,0.249415,0.000000,0.000000,WORKING,CLEAR,0
1782527216940,0.000000,0.000000,0.248698,0.000000,0.000000,WORKING,CLEAR,0
1782527217040,0.000000,0.000000,0.247983,0.000000,0.000000,WORKING,CLEAR,0
1782527217140,0.000000,0.000000,0.247269,0.000000,0.000000,WORKING,CLEAR,0
1782527217240,0.000000,0.000000,0.246558,0.000000,0.000000,WORKING,CLEAR,0
1782527217340,0.000000,0.000000,0.245847,0.000000,0.000000,WORKING,CLEAR,0
1782527217440,0.000000,0.000000,0.245139,0.000000,0.000000,WORKING,CLEAR,0
1782527217540,0.000000,0.000000,0.244432,0.000000,0.000000,WORKING,CLEAR,0
1782527217640,0.000000,0.000000,0.243727,0.000000,0.000000,WORKING,CLEAR,0
1782527217740,0.000000,0.000000,0.243024,0.000000,0.000000,WORKING,CLEAR,0
1782527217840,0.000000,0.000000,0.242322,0.000000,0.000000,WORKING,CLEAR,0
1782527217940,0.000000,0.000000,0.241622,0.000000,0.000000,WORKING,CLEAR,0
1782527218040,0.000000,0.000000,0.240924,0.000000,0.000000,WORKING,CLEAR,0
1782527218140,0.000000,0.000000,0.240227,0.000000,0.000000,WORKING,CLEAR,0
1782527218240,0.000000,0.000000,0.239532,0.000000,0.000000,WORKING,CLEAR,0
1782527218340,0.000000,0.000000,0.238839,0.000000,0.000000,WORKING,CLEAR,0
1782527218440,0.000000,0.000000,0.238147,0.000000,0.000000,WORKING,CLEAR,0
1782527218540,0.000000,0.000000,0.237457,0.000000,0.000000,WORKING,CLEAR,0
1782527218616,0.000000,0.000000,0.236934,0.000000,0.000000,WORKING,CLEAR,0
1782527218716,0.000000,0.000000,0.452140,0.000000,0.000000,WORKING,CLEAR,0
1782527218816,0.000000,0.000000,0.451042,0.000000,0.000000,WORKING,CLEAR,0
1782527218916,0.000000,0.000000,0.449945,0.000000,0.000000,WORKING,CLEAR,0
1782527218941,0.000000,0.000000,0.449671,0.000000,0.000000,WORKING,CLEAR,0
1782527219041,0.000000,0.000000,0.604449,0.000000,0.000000,WORKING,CLEAR,0
1782527219141,0.000000,0.000000,0.603226,0.000000,0.000000,WORKING,CLEAR,0
1782527219241,0.000000,0.000000,0.602004,0.000000,0.000000,WORKING,CLEAR,0
1782527219341,0.000000,0.000000,0.600782,0.000000,0.000000,WORKING,CLEAR,0
1782527219441,0.000000,0.000000,0.599560,0.000000,0.000000,WORKING,CLEAR,0
1782527219541,0.000000,0.000000,0.598339,0.000000,0.000000,WORKING,CLEAR,0
1782527219641,0.000000,0.000000,0.597118,0.000000,0.000000,WORKING,CLEAR,0
1782527219741,0.000000,0.000000,0.595897,0.000000,0.000000,WORKING,CLEAR,0
1782527219841,0.000000,0.000000,0.594677,0.000000,0.000000,WORKING,CLEAR,0
1782527219941,0.000000,0.000000,0.593457,0.000000,0.000000,WORKING,CLEAR,0
1782527220041,0.000000,0.000000,0.592237,0.000000,0.000000,WORKING,CLEAR,0
1782527220141,0.000000,0.000000,0.591018,0.000000,0.000000,WORKING,CLEAR,0
1782527220241,0.000000,0.000000,0.589799,0.000000,0.000000,WORKING,CLEAR,0
1782527220341,0.000000,0.000000,0.588581,0.000000,0.000000,WORKING,CLEAR,0
1782527220441,0.000000,0.000000,0.587363,0.000000,0.000000,WORKING,CLEAR,0
