t,S,T,A,wow,needle,phase,weather
1782216525759,0.000000,0.000000,0.000000,0.000000,0.000000,IDLE,CLEAR
1782216525859,0.000000,0.000000,0.282673,0.000000,0.000000,WORKING,CLEAR
1782216525959,0.000000,0.000000,0.281880,0.000000,0.000000,WORKING,CLEAR
1782216526059,0.000000,0.000000,0.281088,0.000000,0.000000,WORKING,CLEAR
1782216526159,0.000000,0.000000,0.280298,0.000000,0.000000,WORKING,CLEAR
1782216526176,0.000000,0.000000,0.280164,0.000000,0.000000,WORKING,CLEAR
1782216526276,0.000000,0.000000,0.483077,0.000000,0.000000,WORKING,CLEAR
1782216526376,0.000000,0.000000,0.481941,0.000000,0.000000,WORKING,CLEAR
1782216526476,0.000000,0.000000,0.480806,0.000000,0.000000,WORKING,CLEAR
1782216526576,0.000000,0.000000,0.479672,0.000000,0.000000,WORKING,CLEAR
1782216526676,0.000000,0.000000,0.478540,0.000000,0.000000,WORKING,CLEAR
1782216526776,0.000000,0.000000,0.477409,0.000000,0.000000,WORKING,CLEAR
1782216526876,0.000000,0.000000,0.476279,0.000000,0.000000,WORKING,CLEAR
1782216526976,0.000000,0.000000,0.475150,0.000000,0.000000,WORKING,CLEAR
1782216527076,0.000000,0.000000,0.474023,0.000000,0.000000,WORKING,CLEAR
1782216527176,0.000000,0.000000,0.472898,0.000000,0.000000,WORKING,CLEAR
1782216527276,0.000000,0.000000,0.471773,0.000000,0.000000,WORKING,CLEAR
1782216527376,0.000000,0.000000,0.470650,0.000000,0.000000,WORKING,CLEAR
1782216527476,0.000000,0.000000,0.469528,0.000000,0.000000,WORKING,CLEAR
1782216527576,0.000000,0.000000,0.468408,0.000000,0.000000,WORKING,CLEAR
1782216527676,0.000000,0.000000,0.467289,0.000000,0.000000,WORKING,CLEAR
1782216527776,0.000000,0.000000,0.466171,0.000000,0.000000,WORKING,CLEAR
1782216527876,0.000000,0.000000,0.465055,0.000000,0.000000,WORKING,CLEAR
1782216527976,0.000000,0.000000,0.463940,0.000000,0.000000,WORKING,CLEAR
1782216528076,0.000000,0.000000,0.462827,0.000000,0.000000,WORKING,CLEAR
1782216528176,0.000000,0.000000,0.461715,0.000000,0.000000,WORKING,CLEAR
1782216528276,0.000000,0.000000,0.460604,0.000000,0.000000,WORKING,CLEAR
1782216528376,0.000000,0.000000,0.459495,0.000000,0.000000,WORKING,CLEAR
1782216528476,0.000000,0.000000,0.458387,0.000000,0.000000,WORKING,CLEAR
1782216528576,0.000000,0.000000,0.457281,0.000000,0.000000,WORKING,CLEAR
1782216528676,0.000000,0.000000,0.456176,0.000000,0.000000,WORKING,CLEAR
1782216528776,0.000000,0.000000,0.455072,0.000000,0.000000,WORKING,CLEAR
1782216528876,0.000000,0.000000,0.453970,0.000000,0.000000,WORKING,CLEAR
1782216528976,0.000000,0.000000,0.452870,0.000000,0.000000,WORKING,CLEAR
1782216529076,0.000000,0.000000,0.451771,0.000000,0.000000,WORKING,CLEAR
1782216529176,0.000000,0.000000,0.450673,0.000000,0.000000,WORKING,CLEAR
1782216529276,0.000000,0.000000,0.449577,0.000000,0.000000,WORKING,CLEAR
1782216529376,0.000000,0.000000,0.448482,0.000000,0.000000,WORKING,CLEAR
1782216529476,0.000000,0.000000,0.447389,0.000000,0.000000,WORKING,CLEAR
1782216529576,0.000000,0.000000,0.446297,0.000000,0.000000,WORKING,CLEAR
1782216529676,0.000000,0.000000,0.445207,0.000000,0.000000,WORKING,CLEAR
1782216529776,0.000000,0.000000,0.444118,0.000000,0.000000,WORKING,CLEAR
1782216529876,0.000000,0.000000,0.443031,0.000000,0.000000,WORKING,CLEAR
1782216529976,0.000000,0.000000,0.441945,0.000000,0.000000,WORKING,CLEAR
1782216530076,0.000000,0.000000,0.440861,0.000000,0.000000,WORKING,CLEAR
1782216530176,0.000000,0.000000,0.439778,0.000000,0.000000,WORKING,CLEAR
1782216530276,0.000000,0.000000,0.438697,0.000000,0.000000,WORKING,CLEAR
1782216530376,0.000000,0.000000,0.437617,0.000000,0.000000,WORKING,CLEAR
1782216530476,0.000000,0.000000,0.436539,0.000000,0.000000,WORKING,CLEAR
1782216530576,0.000000,0.000000,0.435462,0.000000,0.000000,WORKING,CLEAR
1782216530676,0.000000,0.000000,0.434387,0.000000,0.000000,WORKING,CLEAR
1782216530776,0.000000,0.000000,0.433313,0.000000,0.000000,WORKING,CLEAR
1782216530876,0.000000,0.000000,0.432241,0.000000,0.000000,WORKING,CLEAR
1782216530976,0.000000,0.000000,0.431171,0.000000,0.000000,WORKING,CLEAR
1782216531076,0.000000,0.000000,0.430102,0.000000,0.000000,WORKING,CLEAR
1782216531176,0.000000,0.000000,0.429034,0.000000,0.000000,WORKING,CLEAR
1782216531276,0.000000,0.000000,0.427969,0.000000,0.000000,WORKING,CLEAR
1782216531376,0.000000,0.000000,0.426904,0.000000,0.000000,WORKING,CLEAR
1782216531476,0.000000,0.000000,0.425842,0.000000,0.000000,WORKING,CLEAR
1782216531576,0.000000,0.000000,0.424780,0.000000,0.000000,WORKING,CLEAR
1782216531676,0.000000,0.000000,0.423721,0.000000,0.000000,WORKING,CLEAR
1782216531776,0.000000,0.000000,0.422663,0.000000,0.000000,WORKING,CLEAR
1782216531876,0.000000,0.000000,0.421607,0.000000,0.000000,WORKING,CLEAR
1782216531976,0.000000,0.000000,0.420552,0.000000,0.000000,WORKING,CLEAR
1782216532076,0.000000,0.000000,0.419499,0.000000,0.000000,WORKING,CLEAR
1782216532176,0.000000,0.000000,0.418447,0.000000,0.000000,WORKING,CLEAR
1782216532276,0.000000,0.000000,0.417397,0.000000,0.000000,WORKING,CLEAR
1782216532376,0.000000,0.000000,0.416349,0.000000,0.000000,WORKING,CLEAR
1782216532476,0.000000,0.000000,0.415302,0.000000,0.000000,WORKING,CLEAR
1782216532576,0.000000,0.000000,0.414257,0.000000,0.000000,WORKING,CLEAR
1782216532676,0.000000,0.000000,0.413213,0.000000,0.000000,WORKING,CLEAR
1782216532776,0.000000,0.000000,0.412171,0.000000,0.000000,WORKING,CLEAR
1782216532876,0.000000,0.000000,0.411131,0.000000,0.000000,WORKING,CLEAR
1782216532976,0.000000,0.000000,0.410093,0.000000,0.000000,WORKING,CLEAR
1782216533076,0.000000,0.000000,0.409056,0.000000,0.000000,WORKING,CLEAR
1782216533176,0.000000,0.000000,0.408020,0.000000,0.000000,WORKING,CLEAR
1782216533276,0.000000,0.000000,0.406986,0.000000,0.000000,WORKING,CLEAR
1782216533376,0.000000,0.000000,0.405954,0.000000,0.000000,WORKING,CLEAR
1782216533476,0.000000,0.000000,0.404924,0.000000,0.000000,WORKING,CLEAR
1782216533576,0.000000,0.000000,0.403895,0.000000,0.000000,WORKING,CLEAR
1782216533676,0.000000,0.000000,0.402868,0.000000,0.000000,WORKING,CLEAR
1782216533776,0.000000,0.000000,0.401842,0.000000,0.000000,WORKING,CLEAR
1782216533876,0.000000,0.000000,0.400819,0.000000,0.000000,WORKING,CLEAR
1782216533976,0.000000,0.000000,0.399797,0.000000,0.000000,WORKING,CLEAR
1782216534076,0.000000,0.000000,0.398776,0.000000,0.000000,WORKING,CLEAR
1782216534176,0.000000,0.000000,0.397757,0.000000,0.000000,WORKING,CLEAR
1782216534276,0.000000,0.000000,0.396740,0.000000,0.000000,WORKING,CLEAR
1782216534376,0.000000,0.000000,0.395725,0.000000,0.000000,WORKING,CLEAR
1782216534476,0.000000,0.000000,0.394711,0.000000,0.000000,WORKING,CLEAR
1782216534576,0.000000,0.000000,0.393699,0.000000,0.000000,WORKING,CLEAR
1782216534676,0.000000,0.000000,0.392688,0.000000,0.000000,WORKING,CLEAR
1782216534776,0.000000,0.000000,0.391680,0.000000,0.000000,WORKING,CLEAR
1782216534876,0.000000,0.000000,0.390673,0.000000,0.000000,WORKING,CLEAR
1782216534976,0.000000,0.000000,0.389667,0.000000,0.000000,WORKING,CLEAR
1782216535076,0.000000,0.000000,0.388663,0.000000,0.000000,WORKING,CLEAR
1782216535176,0.000000,0.000000,0.387662,0.000000,0.000000,WORKING,CLEAR
1782216535276,0.000000,0.000000,0.386661,0.000000,0.000000,WORKING,CLEAR
1782216535376,0.000000,0.000000,0.385663,0.000000,0.000000,WORKING,CLEAR
1782216535476,0.000000,0.000000,0.384666,0.000000,0.000000,WORKING,CLEAR
1782216535576,0.000000,0.000000,0.383671,0.000000,0.000000,WORKING,CLEAR
1782216535676,0.000000,0.000000,0.382677,0.000000,0.000000,WORKING,CLEAR
1782216535776,0.000000,0.000000,0.381686,0.000000,0.000000,WORKING,CLEAR
1782216535876,0.000000,0.000000,0.380696,0.000000,0.000000,WORKING,CLEAR
1782216535976,0.000000,0.000000,0.379707,0.000000,0.000000,WORKING,CLEAR
1782216536076,0.000000,0.000000,0.378721,0.000000,0.000000,WORKING,CLEAR
1782216536176,0.000000,0.000000,0.377736,0.000000,0.000000,WORKING,CLEAR
