t,emitT,seq,verb,outcome,m,tags,special,sig,k,clearedBy,slot
191176,191176,0,OTHER,NA,0.000000,,SESSION_START,,,,
191176,191176,1,RUN,OK,0.062268,,,s2f672db2,,,7a7acb9e
191593,191593,2,RUN,OK,0.010966,,,s2f672db2,,,fa4a7c8d
204884,204884,3,RUN,OK,0.007173,,,s2f672db2,,,33b99840
207073,207073,4,RUN,OK,0.020442,,,s2f672db2,,,d0077655
221804,221804,5,RUN,OK,0.023258,,,s2f672db2,,,1ff3da50
237474,237474,6,RUN,OK,0.101108,,,s2f672db2,,,1ff3da50
251846,251846,7,RUN,OK,0.106682,,,s2f672db2,,,1ff3da50
261014,261014,8,RUN,OK,0.030228,,,s2f672db2,,,1ff3da50
282556,282556,9,RUN,OK,0.012739,,,s2f672db2,,,1ff3da50
300531,300531,10,RUN,OK,0.012150,,,s2f672db2,,,989b66ea
497191,497191,11,RUN,OK,0.024189,,,s2f672db2,,,c522f2bb
523332,523332,12,RUN,OK,0.435285,,,s2f672db2,,,c522f2bb
543269,543269,13,RUN,OK,0.257737,,,s2f672db2,,,1ff3da50
1844567,1844567,14,RUN,OK,0.034866,,,s2f672db2,,,c522f2bb
1877939,1877939,15,RUN,OK,0.396496,,,s2f672db2,,,c522f2bb
1926900,1926900,16,READ,OK,0.025897,,,sd513ebe4,,,10b14aa4
1943393,1943393,17,WRITE,OK,0.288221,,,sf2fe8217,,,186bdca9
1973449,1973449,18,RUN,OK,0.534914,,,s2f672db2,,,c522f2bb
2022803,2022803,19,RUN,OK,0.628859,,,s2f672db2,,,c522f2bb
2061871,2061871,20,RUN,OK,0.013718,,,s2f672db2,,,c522f2bb
2071308,2071308,21,RUN,OK,0.030228,,,s2f672db2,,,c522f2bb
2090752,2090752,22,RUN,OK,0.020252,,,s2f672db2,,,1ff3da50
2144153,2144153,23,RUN,OK,0.732991,,,s2f672db2,,,062a495a
2285689,2285689,24,RUN,FAIL,1.000000,,,s73d99d16,,,989b66ea
2347713,2347713,25,RUN,OK,0.318026,,,s2f672db2,,,1ff3da50
2396174,2396174,26,WRITE,OK,0.445997,,,sfe04d1d0,,,f26a50ca
2396343,2396343,27,READ,OK,0.114876,,,sd513ebe4,,,aef37be1
2402822,2402822,28,WRITE,OK,0.111499,,,sf2fe8217,,,9761d888
3435754,3435754,29,RUN,OK,0.179662,,,s2f672db2,,,c522f2bb
3625402,3625402,30,RUN,OK,0.020442,,,s2f672db2,,,74486e96
3724791,3724791,31,RUN,OK,0.898720,,,s2f672db2,,,a42e3ddc
3825128,3825128,32,RUN,OK,0.732370,,,s2f672db2,,,e0baccb7
3879642,3879642,33,RUN,OK,0.472070,,,s2f672db2,,,e0baccb7
3950414,3950414,34,WRITE,OK,0.258893,,,sf2fe8217,,,df298c3f
4072183,4072183,35,RUN,OK,0.018543,,,s2f672db2,,,74486e96
4125827,4125827,36,WRITE,OK,0.650363,,,sfe04d1d0,,,75a3f936
4147233,4147233,37,RUN,FAIL,0.500000,,,s73d99d16,,,7986e372
4170987,4170987,38,RUN,OK,0.015274,,,s2f672db2,,,10e43b60
4215413,4215413,39,RUN,OK,0.574462,,,s2f672db2,,,ef5b32b0
4250932,4250932,40,WRITE,OK,0.258893,,,sf2fe8217,,,df298c3f
4250932,4250932,41,OTHER,NA,0.000000,,DONE,,,,
64867477,64867477,42,OTHER,NA,0.000000,,SESSION_START,,,,
64867477,64867477,43,RUN,OK,0.305739,,,s2f672db2,,,1ff3da50
64901179,64901179,44,RUN,OK,0.018733,,,s2f672db2,,,989b66ea
64940786,64940786,45,RUN,OK,0.395497,,,s2f672db2,,,e0baccb7
64962812,64962812,46,WRITE,OK,0.222999,,,sf2fe8217,,,df298c3f
65090022,65090022,47,WRITE,OK,0.258893,,,sf2fe8217,,,b44e5563
65149219,65149219,48,RUN,OK,0.778863,,,s2f672db2,,,ef5b32b0
65149219,65149219,49,OTHER,NA,0.000000,,DONE,,,,
94240060,94240060,50,OTHER,NA,0.000000,,SESSION_START,,,,
94240060,94240060,51,RUN,OK,0.808153,,,s2f672db2,,,f54ac21a
94311240,94311240,52,RUN,OK,0.245833,,,s2f672db2,,,1ff3da50
94344593,94344593,53,RUN,OK,0.018161,,,s2f672db2,,,297a1ce4
94501977,94501977,54,RUN,OK,0.017969,,,s2f672db2,,,1ff3da50
94555782,94555782,55,RUN,OK,0.019874,,,s2f672db2,,,1ff3da50
94715614,94715614,56,RUN,OK,0.911080,,,s2f672db2,,,68aa186c
94757733,94757733,57,RUN,OK,0.394084,,,s2f672db2,,,c522f2bb
94862683,94862683,58,RUN,OK,0.825798,,,s2f672db2,,,e0baccb7
94935134,94935134,59,RUN,OK,0.018161,,,s2f672db2,,,ef5b32b0
94973161,94973161,60,READ,FAIL,0.500000,,,sd581e0f4,,,b7f56811
94992884,94992884,61,RUN,OK,0.219986,,,s2f672db2,,,ef5b32b0
95007465,95007465,62,READ,OK,0.019417,,,sd513ebe4,,,f35085f6
95078035,95078035,63,WRITE,OK,0.536017,,,sfe04d1d0,,,ff6bb536
95103516,95103516,64,RUN,OK,0.025115,,,s2f672db2,,,ef5b32b0
95123910,95123910,65,RUN,OK,0.026955,,,s2f672db2,,,ef5b32b0
95272306,95272306,66,RUN,OK,0.023445,,,s2f672db2,,,1ff3da50
95316507,95316507,67,RUN,OK,0.034336,,,s2f672db2,,,c522f2bb
95355122,95355122,68,RUN,OK,0.016433,,,s2f672db2,,,ef5b32b0
95398807,95398807,69,RUN,OK,0.030768,,,s2f672db2,,,ef5b32b0
95428733,95428733,70,RUN,OK,0.226772,,,s2f672db2,,,ef5b32b0
95489439,95489439,71,RUN,OK,0.587819,,,s2f672db2,,,c522f2bb
95663389,95663389,72,RUN,OK,0.014303,,,s2f672db2,,,ef5b32b0
95718287,95718287,73,WRITE,OK,0.353444,,,sf2fe8217,,,c8b11b46
95720282,95720282,74,WRITE,OK,0.385724,,,sf2fe8217,,,9d1e39f7
95721388,95721388,75,WRITE,OK,0.536017,,,sfe04d1d0,,,ff6bb536
95749688,95749688,76,RUN,OK,0.045693,,,s2f672db2,,,ef5b32b0
95807102,95807102,77,WRITE,OK,0.176722,,,sf2fe8217,,,df298c3f
95807102,95807102,78,OTHER,NA,0.000000,,DONE,,,,
