t,S,T,A,wow,needle,phase,weather,pendingAsk
1781072384691,0.000000,0.000000,0.000000,0.000000,0.000000,IDLE,CLEAR,0
1781072384791,0.000000,0.000000,0.282673,0.000000,0.000000,WORKING,CLEAR,0
1781072384891,0.000000,0.000000,0.281880,0.000000,0.000000,WORKING,CLEAR,0
1781072384991,0.000000,0.000000,0.281088,0.000000,0.000000,WORKING,CLEAR,0
1781072385091,0.000000,0.000000,0.280298,0.000000,0.000000,WORKING,CLEAR,0
1781072385191,0.000000,0.000000,0.279510,0.000000,0.000000,WORKING,CLEAR,0
1781072385291,0.000000,0.000000,0.278724,0.000000,0.000000,WORKING,CLEAR,0
1781072385391,0.000000,0.000000,0.277939,0.000000,0.000000,WORKING,CLEAR,0
1781072385491,0.000000,0.000000,0.277156,0.000000,0.000000,WORKING,CLEAR,0
1781072385591,0.000000,0.000000,0.276375,0.000000,0.000000,WORKING,CLEAR,0
1781072385691,0.000000,0.000000,0.275596,0.000000,0.000000,WORKING,CLEAR,0
1781072385791,0.000000,0.000000,0.274818,0.000000,0.000000,WORKING,CLEAR,0
1781072385891,0.000000,0.000000,0.274042,0.000000,0.000000,WORKING,CLEAR,0
1781072385991,0.000000,0.000000,0.273268,0.000000,0.000000,WORKING,CLEAR,0
1781072386091,0.000000,0.000000,0.272496,0.000000,0.000000,WORKING,CLEAR,0
1781072386191,0.000000,0.000000,0.271725,0.000000,0.000000,WORKING,CLEAR,0
1781072386291,0.000000,0.000000,0.270956,0.000000,0.000000,WORKING,CLEAR,0
1781072386391,0.000000,0.000000,0.270189,0.000000,0.000000,WORKING,CLEAR,0
1781072386491,0.000000,0.000000,0.269424,0.000000,0.000000,WORKING,CLEAR,0
1781072386591,0.000000,0.000000,0.268660,0.000000,0.000000,WORKING,CLEAR,0
1781072386691,0.000000,0.000000,0.267898,0.000000,0.000000,WORKING,CLEAR,0
1781072386791,0.000000,0.000000,0.267138,0.000000,0.000000,WORKING,CLEAR,0
1781072386891,0.000000,0.000000,0.266380,0.000000,0.000000,WORKING,CLEAR,0
1781072386991,0.000000,0.000000,0.265623,0.000000,0.000000,WORKING,CLEAR,0
1781072387091,0.000000,0.000000,0.264868,0.000000,0.000000,WORKING,CLEAR,0
1781072387191,0.000000,0.000000,0.264115,0.000000,0.000000,WORKING,CLEAR,0
1781072387291,0.000000,0.000000,0.263364,0.000000,0.000000,WORKING,CLEAR,0
1781072387391,0.000000,0.000000,0.262614,0.000000,0.000000,WORKING,CLEAR,0
1781072387491,0.000000,0.000000,0.261866,0.000000,0.000000,WORKING,CLEAR,0
1781072387591,0.000000,0.000000,0.261120,0.000000,0.000000,WORKING,CLEAR,0
1781072387691,0.000000,0.000000,0.260375,0.000000,0.000000,WORKING,CLEAR,0
1781072387791,0.000000,0.000000,0.259633,0.000000,0.000000,WORKING,CLEAR,0
1781072387891,0.000000,0.000000,0.258892,0.000000,0.000000,WORKING,CLEAR,0
1781072387991,0.000000,0.000000,0.258152,0.000000,0.000000,WORKING,CLEAR,0
1781072388091,0.000000,0.000000,0.257415,0.000000,0.000000,WORKING,CLEAR,0
1781072388191,0.000000,0.000000,0.256679,0.000000,0.000000,WORKING,CLEAR,0
1781072388291,0.000000,0.000000,0.255945,0.000000,0.000000,WORKING,CLEAR,0
1781072388391,0.000000,0.000000,0.255212,0.000000,0.000000,WORKING,CLEAR,0
1781072388491,0.000000,0.000000,0.254482,0.000000,0.000000,WORKING,CLEAR,0
1781072388591,0.000000,0.000000,0.253753,0.000000,0.000000,WORKING,CLEAR,0
1781072388691,0.000000,0.000000,0.253026,0.000000,0.000000,WORKING,CLEAR,0
1781072388791,0.000000,0.000000,0.252300,0.000000,0.000000,WORKING,CLEAR,0
1781072388891,0.000000,0.000000,0.251576,0.000000,0.000000,WORKING,CLEAR,0
1781072388991,0.000000,0.000000,0.250854,0.000000,0.000000,WORKING,CLEAR,0
1781072389091,0.000000,0.000000,0.250134,0.000000,0.000000,WORKING,CLEAR,0
1781072389191,0.000000,0.000000,0.249415,0.000000,0.000000,WORKING,CLEAR,0
1781072389291,0.000000,0.000000,0.248698,0.000000,0.000000,WORKING,CLEAR,0
1781072389391,0.000000,0.000000,0.247983,0.000000,0.000000,WORKING,CLEAR,0
1781072389491,0.000000,0.000000,0.247269,0.000000,0.000000,WORKING,CLEAR,0
1781072389591,0.000000,0.000000,0.246558,0.000000,0.000000,WORKING,CLEAR,0
1781072389691,0.000000,0.000000,0.245847,0.000000,0.000000,WORKING,CLEAR,0
1781072389791,0.000000,0.000000,0.245139,0.000000,0.000000,WORKING,CLEAR,0
1781072389891,0.000000,0.000000,0.244432,0.000000,0.000000,WORKING,CLEAR,0
1781072389991,0.000000,0.000000,0.243727,0.000000,0.000000,WORKING,CLEAR,0
1781072390091,0.000000,0.000000,0.243024,0.000000,0.000000,WORKING,CLEAR,0
1781072390191,0.000000,0.000000,0.242322,0.000000,0.000000,WORKING,CLEAR,0
1781072390291,0.000000,0.000000,0.241622,0.000000,0.000000,WORKING,CLEAR,0
1781072390391,0.000000,0.000000,0.240924,0.000000,0.000000,WORKING,CLEAR,0
1781072390491,0.000000,0.000000,0.240227,0.000000,0.000000,WORKING,CLEAR,0
1781072390591,0.000000,0.000000,0.239532,0.000000,0.000000,WORKING,CLEAR,0
1781072390691,0.000000,0.000000,0.238839,0.000000,0.000000,WORKING,CLEAR,0
1781072390791,0.000000,0.000000,0.238147,0.000000,0.000000,WORKING,CLEAR,0
1781072390891,0.000000,0.000000,0.237457,0.000000,0.000000,WORKING,CLEAR,0
1781072390991,0.000000,0.000000,0.236769,0.000000,0.000000,WORKING,CLEAR,0
