t,emitT,seq,verb,outcome,m,tags,special,sig,k,clearedBy,slot
1781072384691,1781072384691,0,OTHER,NA,0.000000,,SESSION_START,,,,
1781072384691,1781072384691,1,READ,OK,0.570175,,,93e49629,,,b7f3b258
1781072393678,1781072393678,2,RUN,OK,0.010570,,,7e3198ac,,,4fddbea1
1781072401801,1781072401801,3,RUN,OK,0.009378,,,7e3198ac,,,f2fa9d97
1781072627276,1781072627276,4,RUN,OK,0.009975,,,7e3198ac,,,f2fa9d97
1781072657020,1781072657020,5,RUN,OK,0.617780,,,7e3198ac,,,4fddbea1
1781072676434,1781072676434,6,RUN,OK,0.024003,,,7e3198ac,,,4fddbea1
1781073448367,1781073448367,7,RUN,OK,0.020063,,,7e3198ac,,,4fddbea1
1781074171410,1781074171410,8,RUN,OK,0.015468,,,7e3198ac,,,4fddbea1
1781075314493,1781075314493,9,READ,OK,0.000000,,,75816f9f,,,75816f9f
1781075324660,1781075324660,10,READ,FAIL,0.500000,,,57757981,,,84ad3034
1781075331040,1781075331040,11,READ,FAIL,0.500000,,,50f70839,,,04c8ddf6
1781075331258,1781075331258,12,READ,FAIL,0.500000,,,50f70839,,,e5e888ad
1781075332871,1781075332871,13,READ,FAIL,0.500000,,,50f70839,,,42dd02dd
1781075343652,1781075343652,14,READ,FAIL,0.500000,,,50f70839,,,84ad3034
1781075343738,1781075343738,15,RUN,OK,0.017778,,,7e3198ac,,,4fddbea1
1781075356349,1781075356349,16,RUN,OK,0.013913,,,7e3198ac,,,4fddbea1
1781076847663,1781076847663,17,READ,FAIL,0.500000,,,57757981,,,11178a80
1781076852314,1781076852314,18,READ,FAIL,0.500000,,,50f70839,,,fff473eb
1781076852518,1781076852518,19,READ,FAIL,0.500000,,,50f70839,,,1a9fc8c9
1781076856079,1781076856079,20,READ,FAIL,0.500000,,,50f70839,,,59d9b2b9
1781076856370,1781076856370,21,READ,FAIL,0.500000,,,ff91be1b,,,a6246852
1781076856660,1781076856660,22,READ,FAIL,0.500000,,,3fdee531,,,4e988152
1781076856663,1781076856663,23,READ,FAIL,0.500000,,,ff91be1b,,,82807892
1781076872730,1781076872730,24,READ,FAIL,0.500000,,,50f70839,,,11178a80
1781076874662,1781076874662,25,RUN,OK,0.026589,,,7e3198ac,,,4fddbea1
1781076918094,1781076918094,26,RUN,OK,0.011164,,,7e3198ac,,,4fddbea1
1781077531762,1781077531762,27,READ,FAIL,0.500000,,,92a20fd3,,,1b50f44d
1781077532087,1781077532087,28,READ,FAIL,0.500000,,,57757981,,,cb2c24fc
1781077533209,1781077533209,29,READ,FAIL,0.500000,,,57757981,,,3f4d7da5
1781077533297,1781077533297,30,READ,FAIL,0.500000,,,57757981,,,3e7728bb
1781077533643,1781077533643,31,READ,FAIL,0.500000,,,39650b02,,,1746a2fc
1781077535099,1781077535099,32,READ,FAIL,0.500000,,,d32552bc,,,9d4563d7
1781077538298,1781077538298,33,READ,FAIL,0.500000,,,57757981,,,22a71914
1781077551467,1781077551467,34,READ,FAIL,0.500000,,,57757981,,,cb2c24fc
1781077552383,1781077552383,35,READ,FAIL,0.500000,,,57757981,,,3e7728bb
1781077553427,1781077553427,36,READ,FAIL,0.500000,,,57757981,,,3f4d7da5
1781077554356,1781077554356,37,READ,FAIL,0.500000,,,57757981,,,22a71914
1781077559705,1781077559705,38,READ,FAIL,0.500000,,,59a02723,,,74e5eea5
1781077574890,1781077574890,39,READ,FAIL,0.500000,,,ab07ed64,,,3e7728bb
1781077574890,1781077574890,-1,READ,FAIL,0.500000,,STUCK_LOOP,57757981,2,,3e7728bb
1781077577055,1781077577055,40,READ,FAIL,0.500000,,,50f70839,,,22a71914
1781077577055,1781077577055,-1,READ,FAIL,0.500000,,STUCK_LOOP,57757981,2,,22a71914
1781077577139,1781077577139,41,READ,FAIL,0.500000,,,ab07ed64,,,3f4d7da5
1781077577139,1781077577139,-1,READ,FAIL,0.500000,,STUCK_LOOP,57757981,2,,3f4d7da5
1781077577882,1781077577882,42,READ,FAIL,0.500000,,,ab07ed64,,,cb2c24fc
1781077577882,1781077577882,-1,READ,FAIL,0.500000,,STUCK_LOOP,57757981,2,,cb2c24fc
1781077590404,1781077590404,43,RUN,OK,0.032381,,,7e3198ac,,,4fddbea1
1781077598309,1781077598309,44,RUN,OK,0.033804,,,7e3198ac,,,4fddbea1
1781078123653,1781078123653,-1,ASK,NA,0.300000,,,4f8233ec,,,
1781078153849,1781078153849,-1,ASK,NA,0.000000,,ASK_CLEARED,,,,
1781078174890,1781078174890,-1,OTHER,NA,0.000000,,STUCK_CLEARED,57757981,,expiry,3e7728bb
1781078177139,1781078177139,-1,OTHER,NA,0.000000,,STUCK_CLEARED,57757981,,expiry,3f4d7da5
1781078177055,1781078177055,-1,OTHER,NA,0.000000,,STUCK_CLEARED,57757981,,expiry,22a71914
1781078177882,1781078177882,-1,OTHER,NA,0.000000,,STUCK_CLEARED,57757981,,expiry,cb2c24fc
1781078222522,1781078222522,46,READ,FAIL,0.500000,,,502add22,,,663e0a25
1781078223071,1781078223071,47,READ,FAIL,0.500000,,,50f70839,,,d1840127
1781078224563,1781078224563,48,READ,FAIL,0.500000,,,57757981,,,707ebd23
1781078225234,1781078225234,49,READ,FAIL,0.500000,,,59a02723,,,23027ae8
1781078225477,1781078225477,50,READ,FAIL,0.500000,,,50f70839,,,de95b0eb
1781078244703,1781078244703,51,READ,FAIL,0.500000,,,57757981,,,663e0a25
1781078245585,1781078245585,52,READ,FAIL,0.500000,,,7feb7431,,,23027ae8
1781078245670,1781078245670,53,RUN,OK,0.244094,,,7e3198ac,,,4fddbea1
1781078572322,1781078572322,54,READ,FAIL,0.500000,,,299425e5,,,713d790c
1781078572687,1781078572687,55,READ,FAIL,0.500000,,,57757981,,,6bd7dc57
1781078596401,1781078596401,56,READ,FAIL,0.500000,,,57757981,,,713d790c
1781078597145,1781078597145,57,READ,FAIL,0.500000,,,b6ae31d0,,,6bd7dc57
1781078612228,1781078612228,58,RUN,OK,0.015080,,,7e3198ac,,,4fddbea1
1781080156846,1781080156846,59,WRITE,OK,0.936215,,,97b6bd69,,,afd35bf2
1781080156846,1781080156846,60,OTHER,NA,0.000000,,DONE,,,,
1782021954898,1782021954898,61,OTHER,NA,0.000000,,SESSION_START,,,,
1782021954898,1782021954898,62,READ,FAIL,0.500000,,,50f70839,,,db79e6bc
1782021955020,1782021955020,63,READ,FAIL,0.500000,,,d32552bc,,,2697a6b4
1782021956111,1782021956111,64,READ,FAIL,0.500000,,,50f70839,,,e5a7444e
